"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"220",4,"35-39",0,0.00531781977597603,0.00752894898396677,"men","2016","Benchmark"
"221",5,"40-44",0,0.00328572439334727,0.00544276106287567,"men","2016","Benchmark"
"222",6,"45-49",0,0.00137846788161871,0.00274665662447924,"men","2016","Benchmark"
"223",7,"15-24",0.00446143490434654,0.00801881785580782,0.0110943234108062,"women","2016","Benchmark"
"224",8,"25-29",0,0.00179080688782721,0,"women","2016","Benchmark"
"225",9,"30-34",0,0.000861936690576446,0,"women","2016","Benchmark"
"226",10,"35-39",0,0.000378776714955772,0,"women","2016","Benchmark"
"227",11,"40-44",0,0.000194812335314555,0,"women","2016","Benchmark"
"228",12,"45-49",0,0.000103467191301869,0,"women","2016","Benchmark"
"229",1,"15-24",0,0.00195641290635808,0.00260632291525037,"men","2017","Benchmark"
"230",2,"25-29",0,0.00431976347978525,0.00506195867407636,"men","2017","Benchmark"
"231",3,"30-34",0,0.00522964583449905,0.00895326499935681,"men","2017","Benchmark"
"232",4,"35-39",0,0.00498386251261993,0.0090651926058084,"men","2017","Benchmark"
"233",5,"40-44",0,0.00256823769274237,0.00310372523486447,"men","2017","Benchmark"
"234",6,"45-49",0,0.00105714559998469,0.00264820966914624,"men","2017","Benchmark"
"235",7,"15-24",0.00249609238233139,0.00611202314559844,0.00899145714652799,"women","2017","Benchmark"
"236",8,"25-29",0,0.00125865666810458,0,"women","2017","Benchmark"
"237",9,"30-34",0,0.000448179096310614,0,"women","2017","Benchmark"
"238",10,"35-39",0,0.000261535557705,0,"women","2017","Benchmark"
"239",11,"40-44",0,0.00010522990991869,0,"women","2017","Benchmark"
"240",12,"45-49",0,7.5744223849828e-05,0,"women","2017","Benchmark"
